director,actor1Name,actor2Name,actor3Name,duration,contentRating,net_revenue,imdbScore
"Michael Bay","Zack Ward","Michael O'Neill","Kevin Dunn",144,PG-13,168759914,7.1
"Oliver Stone","Anthony Hopkins","Angelina Jolie Pitt","Brian Blessed",206,R,-120706229,5.5
"David Yates","Robert Pattinson","Daniel Radcliffe","Fiona Shaw",138,PG-13,142000866,7.5
"Mike Newell","Robert Pattinson","Daniel Radcliffe","Rupert Grint",157,PG-13,139994397,7.6
"Peter Berg","Will Smith","Charlize Theron","Eddie Marsan",102,PG-13,77946274,6.4
"Francis Lawrence","Will Smith","Alice Braga","Willow Smith",104,PG-13,106386216,7.2
"Tim Burton","Johnny Depp","Christopher Lee","David Kelly",115,PG,56456431,6.7
"Brad Bird","Janeane Garofalo","John Ratzenberger","Brian Dennehy",111,G,56435493,8
"Christopher Nolan","Christian Bale","Liam Neeson","Morgan Freeman",128,PG-13,55343774,8.3
"Eric Darnell","Bernie Mac","Jada Pinkett Smith","Cedric the Entertainer",89,PG,29982968,6.7
"Shawn Levy","Robin Williams","Rami Malek","Steve Coogan",105,PG,27243721,5.9
"Gavin Hood","Hugh Jackman","Ryan Reynolds","Dominic Monaghan",119,PG-13,29883016,6.7
"Lana Wachowski","Essie Davis","Collin Chou","Nona Gaye",129,R,-10740241,6.7
"Chris Buck","Josh Gad","Maurice LaMarche","Livvy Stubenrauch",102,PG,250736600,7.6
"Lana Wachowski","Steve Bastoni","Daniel Bernhardt","Helmut Bakaitis",138,R,131492479,7.2
"Alan Taylor","Chris Hemsworth","Natalie Portman","Anthony Hopkins",112,PG-13,36360018,7.1
"George Miller","Tom Hardy","Charlize Theron","Zoë Kravitz",120,R,3629485,8.1
"Ron Howard","Tom Hanks","Ayelet Zurer","Armin Mueller-Stahl",146,PG-13,-16624154,6.7
"Kenneth Branagh","Chris Hemsworth","Natalie Portman","Anthony Hopkins",115,PG-13,31015141,7
"Byron Howard","Chloë Grace Moretz","Diedrich Bader","James Lipton",96,PG,-35946421,6.9
"Hoyt Yeatman","Kelli Garner","Piper Mackenzie Harris","Niecy Nash",88,PG,-30579748,5.1
"Jonathan Liebesman","Liam Neeson","Edgar Ramírez","Lily James",99,PG-13,-66359574,5.8
"Tim Burton","Johnny Depp","Chloë Grace Moretz","Christopher Lee",113,PG-13,-20288322,6.2
"Christopher McQuarrie","Tom Cruise","Jeremy Renner","Sean Harris",131,PG-13,45000874,7.4
"Joe Johnston","Anthony Hopkins","Simon Merrells","Art Malik",119,R,-88062505,5.8
"David Yates","Christoph Waltz","Alexander Skarsgård","Casper Crump",110,PG-13,-55948241,6.6
"Steve Hickner","Matthew Broderick","Oprah Winfrey","Rip Torn",91,PG,-23402879,6.2
"Jennifer Yuh Nelson","Angelina Jolie Pitt","Gary Oldman","Mike Bell",90,PG,15230261,7.3
"M. Night Shyamalan","Seychelle Gabriel","Noah Ringer","Aasif Mandvi",103,PG,-18435269,4.2
"J.J. Abrams","Philip Seymour Hoffman","Tom Cruise","Eddie Marsan",124,PG-13,-16617691,6.9
"Roland Emmerich","Channing Tatum","Jake Weber","Matt Craven",131,PG-13,-76896216,6.4
"Simon Wells","Elisabeth Harnois","Dan Fogler","Tom Everett Scott",88,PG,-128620685,5.4
"David Bowers","Hugh Jackman","Kate Winslet","David Suchet",85,PG,-84540684,6.7
"Joe Wright","Hugh Jackman","Cara Delevingne","Nonso Anozie",111,PG,-115035182,5.8
"Rob Minkoff","Ty Burrell","Zach Callison","Karan Brar",92,PG,-33494358,6.9
"Wolfgang Petersen","Brad Pitt","Orlando Bloom","Julian Glover",196,R,-41771652,7.2
"Eric Darnell","Jada Pinkett Smith","Martin Short","Cedric the Entertainer",93,PG,71366733,6.9
"Lee Tamahori","Toby Stephens","Colin Salmon","Rick Yune",133,PG-13,18201106,6.1
"Paul Feig","Ed Begley Jr.","Kate McKinnon","Zach Woods",116,PG-13,-25900341,5.5
"Michael Bay","Bruce Willis","Steve Buscemi","Will Patton",153,PG-13,61573391,6.6
"Barry Sonnenfeld","Will Smith","Rosario Dawson","Rip Torn",88,PG-13,50418803,6.1
"Robert Zemeckis","Robin Wright","Anthony Hopkins","Sebastian Roché",115,PG-13,-67838031,6.3
"Alessandro Carloni","J.K. Simmons","Angelina Jolie Pitt","Wayne Knight",95,PG,-1476537,7.2
"Brad Bird","Tom Cruise","Jeremy Renner","Michael Nyqvist",133,PG-13,64364921,7.4
"Peter Ramsey","Hugh Jackman","Kamil McFadden","Khamani Griffin",97,PG,-41599308,7.3
"Dean Parisot","John Michael Higgins","Richard Burgi","David Herman",90,PG-13,10332737,6.1
"Edward Zwick","Tom Cruise","Tony Goldwyn","Chad Lindberg",154,R,-28889425,7.7
"Ridley Scott","Christian Bale","María Valverde","Ben Mendelsohn",150,PG-13,-74992955,6.1
"J.J. Abrams","Chris Hemsworth","Leonard Nimoy","Bruce Greenwood",127,PG-13,107704099,8
"Sam Raimi","J.K. Simmons","James Franco","Kirsten Dunst",121,PG-13,264706375,7.3
"Dean DeBlois","Gerard Butler","Djimon Hounsou","America Ferrera",102,PG,31997107,7.9
"Alex Proyas","Gerard Butler","Elodie Yung","Bryan Brown",126,PG-13,-108858926,5.5
"Rob Cohen","Sam Shepard","Joe Morton","Richard Roxburgh",121,PG-13,-103295584,5
"Zack Snyder","Matt Frewer","Billy Crudup","Stephen McHattie",215,R,-22496684,7.7
"Richard Donner","Jet Li","Rene Russo","Darlene Love",127,R,-10265197,6.6
"Ang Lee","Kevin Rankin","Regi Davis","Celia Weston",138,PG-13,-4877005,5.7
"Jon M. Chu","Channing Tatum","Dwayne Johnson","Elodie Yung",122,PG-13,-7487948,5.8
"Breck Eisner","Matthew McConaughey","Rainn Wilson","Delroy Lindo",124,PG-13,-61357548,6
"Hironobu Sakaguchi","Steve Buscemi","Ming-Na Wen","Jean Simmons",106,PG-13,-104868170,6.4
"Joe Johnston","Chris Evans","Dominic Cooper","Hayley Atwell",124,PG-13,36636816,6.9
"Michael Apted","Colin Salmon","Maria Grazia Cucinotta","Desmond Llewelyn",128,PG-13,-8069340,6.4
"Peter Weir","James D'Arcy","Lee Ingleby","David Threlfall",138,PG-13,-56073614,7.4
"Bill Condon","Robert Pattinson","Kristen Stewart","Taylor Lautner",115,PG-13,172298923,5.5
"George Miller","Robin Williams","Brad Pitt",Common,100,PG,-71007672,5.9
"Louis Leterrier","Ty Burrell","Peter Mensah","William Hurt",135,PG-13,-15481610,6.8
,"Don Johnson","Philip Michael Thomas","John Diehl",60,TV-14,-1500000,7.5
"Steven Spielberg","Mark Rylance","Penelope Wilton","Rafe Spall",117,PG,-87207693,6.8
"Alejandro G. Iñárritu","Leonardo DiCaprio","Tom Hardy","Lukas Haas",156,R,48635922,8.1
"David Soren","Ryan Reynolds","Snoop Dogg","Ben Schwartz",96,PG,-51975100,6.5
"Gore Verbinski","Johnny Depp","Ray Winstone","Stephen Root",107,PG,-11792806,7.2
"Eric Darnell","Benedict Cumberbatch","Annet Mahendru","Andy Richter",92,PG,-48651080,6.7
"Paul Greengrass","Matt Damon","Edgar Ramírez","Albert Finney",115,PG-13,117137090,8.1
"Mark Osborne","Angelina Jolie Pitt","Wayne Knight","Dan Fogler",92,PG,85395021,7.6
"Peyton Reed","Judy Greer","Hayley Atwell",T.I.,117,PG-13,50191634,7.4
"Francis Lawrence","Jennifer Lawrence","Josh Hutcherson","Sandra Ellis Lafferty",146,PG-13,294645577,7.6
"Bill Condon","Robert Pattinson","Kristen Stewart","Taylor Lautner",115,PG-13,172298923,5.5
"Tim Johnson","Jim Parsons","Matt Jones","April Winchell",94,PG,42343675,6.7
"Steven Spielberg","Tom Cruise","Lisa Ann Walter","Rick Gonzalez",116,PG-13,102277056,6.5
"Michael Bay","Will Smith","Henry Rollins","Jordi Mollà",147,R,8396624,6.6
"Chris Miller","Salma Hayek","Constance Marie","Amy Sedaris",90,PG,19234747,6.7
"Phillip Noyce","Angelina Jolie Pitt","Andre Braugher","August Diehl",101,PG-13,8311368,6.4
"Darren Aronofsky","Anthony Hopkins","Emma Watson","Logan Lerman",138,PG-13,-23839471,5.8
"Steven Spielberg","Toby Jones","Mackenzie Crook","Tony Curran",107,PG,-57435963,7.4
"Alfonso Cuarón","Daniel Radcliffe","Gary Oldman","Rupert Grint",142,PG,119358727,7.8
"Baz Luhrmann","Essie Davis","Bryan Brown","Eddie Baroo",165,PG-13,-80448338,6.6
"M. Night Shyamalan","Will Smith","Zoë Kravitz","Glenn Morshower",100,PG-13,-69477903,4.9
"Eric Leighton","Alfre Woodard","D.B. Sweeney","Della Reese",82,PG,10248063,6.5
"Matt Birch","Rupert Grint","Dave Legeno","Ralph Ineson",0,,0,7.5
"Shawn Levy","Robin Williams","Rami Malek","Steve Coogan",98,PG,-13266274,6.2
"Tom McGrath","J.K. Simmons","Brad Pitt","Will Ferrell",95,PG,18337537,7.3
"Chris Columbus","Daniel Radcliffe","Fiona Shaw","Verne Troyer",159,PG,192557891,7.5
"Robert Schwentke","Ryan Reynolds","Jeff Bridges","Stephanie Szostak",96,PG-13,-96407585,5.6
"Hideaki Anno","Mark Chinnery","Shin'ya Tsukamoto","Atsuko Maeda",120,,0,8.2
"Gore Verbinski","Johnny Depp","Orlando Bloom","Jack Davenport",143,PG-13,165388685,8.1
"Matt Birch","Rupert Grint","Toby Jones","Alfred Enoch",0,,0,6.4
"Francis Lawrence","Jennifer Lawrence","Philip Seymour Hoffman","Josh Hutcherson",123,PG-13,212103873,6.7
"Ron Howard","Tom Hanks","Seth Gabel","Jürgen Prochnow",174,PG-13,92536138,6.6
"Carlos Saldanha","Miguel Ferrer","Rachel Crow","Jeffrey Garcia",101,G,28536019,6.4
"Bryan Singer","Hugh Jackman","Bruce Davison","Aaron Stanford",134,PG-13,104948780,7.5
"Justin Lin","Paul Walker","Vin Diesel","Dwayne Johnson",132,PG-13,84805005,7.3
"Guy Ritchie","Robert Downey Jr.","Eddie Marsan","Paul Anderson",129,PG-13,61830669,7.5
"Louis Leterrier","Liam Neeson","Jason Flemyng","Alexa Davalos",106,PG-13,38192114,5.8
"Paul Verhoeven","Ronny Cox","Rachel Ticotin","Marshall Bell",113,R,54412921,7.5
"John McTiernan","Tony Curran","Vladimir Kulich","Clive Russell",102,R,-52305212,6.6
"Tony Gilroy","Jeremy Renner","Scott Glenn","Stacy Keach",135,PG-13,-11834365,6.7
"Joel Schumacher","Michael Gough","Vivica A. Fox","John Glover",125,PG-13,-17714996,3.7
"Ron Howard","Clint Howard","T.J. Thyne","Molly Shannon",110,PG,137031035,6
"Roland Emmerich","Jake Gyllenhaal","Dennis Quaid","Sela Ward",124,PG-13,61739919,6.4
"John Woo","Tom Cruise","Dougray Scott","Richard Roxburgh",123,PG-13,90397307,6.1
"Wolfgang Petersen","Karen Allen","Mary Elizabeth Mastrantonio","Bob Gunton",130,PG-13,42618434,6.4
"Tim Story","Chris Evans","Ioan Gruffudd","Andre Braugher",92,PG,1920333,5.6
"Ang Lee","Suraj Sharma","Rafe Spall",Tabu,127,PG,4976634,8
"Mark Steven Johnson","Nicolas Cage","Matt Long","Peter Fonda",123,PG-13,5802596,5.2
"Paul Greengrass","Matt Damon","Riz Ahmed","Ato Essandoh",123,PG-13,-11478165,7.1
McG,"Demi Moore","Bernie Mac","Justin Theroux",107,PG-13,-19314120,4.8
"Ridley Scott","Michael Fassbender","Charlize Theron","Sean Harris",124,R,-3535096,7
"Rob Minkoff","Nathan Lane","Brad Garrett","Melanie Griffith",77,PG,-55263886,5.4
"Neill Blomkamp","Matt Damon","Sharlto Copley","Alice Braga",109,R,-21949883,6.6
"David Twohy","Vin Diesel","Alexa Davalos","Christina Cox",134,PG-13,-47362515,6.7
"José Padilha","Gary Oldman","Abbie Cornish","Jennifer Ehle",117,PG-13,-41392993,6.2
"Lana Wachowski","Scott Porter","Kick Gurry","Nicholas Elia",135,PG,-76070659,6.1
"James L. Brooks","Shelley Conn","Domenick Lombardozzi","Teyonah Parris",121,PG-13,-89787380,5.3
"James Mangold","Tom Cruise","Marc Blucas","Jordi Mollà",117,PG-13,-40581346,6.3
"Joseph Kosinski","Morgan Freeman","Tom Cruise","Zoë Bell",124,PG-13,-30978265,7
"George Lucas","Natalie Portman","Christopher Lee","Hayden Christensen",140,PG-13,267262555,7.6
"George Lucas","Natalie Portman","Christopher Lee","Hayden Christensen",142,PG,195675583,6.7
"Pete Docter","Steve Buscemi","John Ratzenberger","James Coburn",92,G,174907418,8.1
"James Mangold","Hugh Jackman","Tao Okamoto","Rila Fukushima",138,PG-13,12550960,6.7
"George Lucas","Natalie Portman","Liam Neeson","Ian McDiarmid",136,PG,359544677,6.5
"Kirk De Micco","Ryan Reynolds","Emma Stone","Nicolas Cage",98,PG,52165546,7.3
"Frédéric Forestier","Alain Delon","Santiago Segura","Vanessa Hessler",116,,-78000000,5.1
"John Woo","Nicolas Cage","Roger Willie","Noah Emmerich",153,R,-74088170,6
"Cedric Nicolas-Troyan","Chris Hemsworth","Sam Claflin","Charlize Theron",120,PG-13,-67047980,6.1
"Jonathan Liebesman","Noel Fisher","Danny Woodburn","Jeremy Howard",101,PG-13,65871240,5.9
"Alfonso Cuarón","Phaldut Sharma","Basher Savage","Amy Warren",91,PG-13,174084951,7.8
"Roger Donaldson","Jamie Renée Smith","Grant Heslov","Tzi Ma",108,PG-13,-48844258,5.8
"Dave Green","Stephen Amell","Noel Fisher","Brad Garrett",112,PG-13,-53361326,6.3
"Josh Trank","Tim Blake Nelson","Reg E. Cathey","Tim Heidecker",100,PG-13,-63885779,4.3
"Shawn Levy","Robin Williams","Rami Malek","Steve Coogan",108,PG,140863268,6.4
"Brad Peyton","Dwayne Johnson","Ioan Gruffudd","Archie Panjabi",114,PG-13,45181732,6.1
"Roger Spottiswoode","Vincent Schiavelli","Colin Salmon","Joe Don Baker",119,PG-13,15332007,6.5
"Roland Emmerich","Heath Ledger","Adam Baldwin","Tom Wilkinson",142,R,3330342,7.1
"Steven Soderbergh","Brad Pitt","Julia Roberts","Mini Anden",125,PG-13,15531634,6.4
"Doug Liman","Brad Pitt","Angelina Jolie Pitt","Stephanie March",126,PG-13,66336103,6.5
"Robert Schwentke","Kate Winslet","Theo James","Mekhi Phifer",119,PG-13,19995817,6.3
"Martin Scorsese","Leonardo DiCaprio","Adam Scott","Frances Conroy",170,PG-13,-7391173,7.5
"Rob Letterman","James Corden","Catherine Tate","Olly Alexander",85,PG,-69223741,4.9
"Michel Gondry","Christoph Waltz","Tom Wilkinson","Chad L. Coleman",119,PG-13,-21219958,5.8
,"George Peppard","Dirk Benedict","Dwight Schultz",60,TV-PG,0,7.6
"Noam Murro","Eva Green","Sullivan Stapleton","Peter Mensah",102,R,-3630883,6.2
"Raja Gosnell","Mahadeo Shivraj","Tim Gunn","Madison McKinley",103,PG,32614158,5.5
"Will Finn","Steve Buscemi","Roseanne Barr","G.W. Bailey",76,PG,-59973647,5.4
"Robert Schwentke","Naomi Watts","Theo James","Zoë Kravitz",120,PG-13,-43997807,5.8
"Shawn Levy","Hugh Jackman","Torey Michael Adkins","Olga Fonda",127,PG-13,-24536691,7.1
"Raja Gosnell","Jacob Tremblay","Nancy O'Dell","Vanessa Matsui",105,PG,-33982216,5.4
"Jan de Bont","Jason Patric","Temuera Morrison","Lois Chiles",121,PG-13,-111931604,3.7
"Gavin Hood","Harrison Ford","Moises Arias","Aramis Knight",114,PG-13,-48343151,6.7
"Len Wiseman","Bruce Willis","Jonathan Sadowski","Cyril Raffaelli",129,PG-13,24520804,7.2
"Peter Jackson","Christopher Lee","Orlando Bloom","Billy Boyd",171,PG-13,220837577,8.8
"Frank Coraci","Jim Broadbent","Steve Coogan","Cécile De France",120,PG,-85995841,5.8
"Michael Mann","Will Smith","Jada Pinkett Smith","Joe Morton",165,R,-48816034,6.8
"Bo Welch","Sean Hayes","Kelly Preston","Spencer Breslin",82,PG,-8553105,3.8
"Alex Proyas","Will Smith","Bruce Greenwood","Chi McBride",115,PG-13,24795350,7.1
"Ridley Scott","Liam Neeson","Orlando Bloom","Philip Glenister",194,R,-82603302,7.2
"Rob Minkoff","Chazz Palminteri","Nathan Lane","Jeffrey Jones",84,PG,7015224,5.9
"Ron Clements","Oprah Winfrey","Jenifer Lewis","Anika Noni Rose",97,G,-625893,7.1
"Ridley Scott","Matt Damon","Donald Glover","Benedict Wong",151,PG-13,120430993,8.1
"Christopher Barnard","Mathew Buck",,,22,,0,7.2
"Michael Bay","Scarlett Johansson","Steve Buscemi","Djimon Hounsou",136,PG-13,-90200974,6.9
